date,top200_rows,unique_tracks,tracks_with_valence,valence_coverage,avg_valence,sad_songs_count,share_sad_songs
2017-01-01,200,200,198,0.99,0.5298621212121212,55,0.275
2017-01-02,200,200,200,1.0,0.4687945,68,0.34
2017-01-03,200,200,200,1.0,0.451393,70,0.35
2017-01-04,200,200,200,1.0,0.48930549999999995,55,0.275
2017-01-05,200,200,197,0.985,0.49886598984771574,51,0.255
2017-01-06,200,200,189,0.945,0.5099132275132275,45,0.225
2017-01-07,200,200,198,0.99,0.5218762626262626,40,0.2
2017-01-08,200,200,200,1.0,0.5143865000000001,45,0.225
2017-01-09,200,200,199,0.995,0.524740703517588,44,0.22
2017-01-10,200,200,197,0.985,0.4995238578680203,53,0.265
2017-01-11,200,200,198,0.99,0.4999090909090909,59,0.295
2017-01-12,200,200,197,0.985,0.48713959390862943,63,0.315
2017-02-01,200,200,199,0.995,0.47567788944723616,65,0.325
2017-02-02,200,200,200,1.0,0.47321199999999997,66,0.33
2017-02-03,200,200,200,1.0,0.44728949999999995,72,0.36
2017-02-04,200,200,200,1.0,0.4918955,54,0.27
2017-02-05,200,200,198,0.99,0.4957565656565657,50,0.25
2017-02-07,200,200,198,0.99,0.5192095959595959,41,0.205
2017-02-08,200,200,200,1.0,0.521702,44,0.22
2017-02-09,200,200,200,1.0,0.526187,45,0.225
2017-02-10,200,200,198,0.99,0.48631515151515153,53,0.265
2017-02-11,200,200,199,0.995,0.49227587939698497,60,0.3
2017-02-12,200,200,195,0.975,0.49262,61,0.305
2017-03-01,200,200,199,0.995,0.4685070351758794,68,0.34
2017-03-02,200,200,200,1.0,0.470122,67,0.335
2017-03-03,200,200,200,1.0,0.4665835,66,0.33
2017-03-04,200,200,200,1.0,0.4912305,56,0.28
2017-03-05,200,200,197,0.985,0.5012822335025381,49,0.245
2017-03-06,200,200,188,0.94,0.5124526595744681,41,0.205
2017-03-07,200,200,199,0.995,0.5206055276381909,38,0.19
2017-03-08,200,200,200,1.0,0.517757,43,0.215
2017-03-09,200,200,200,1.0,0.518327,46,0.23
2017-03-10,200,200,198,0.99,0.4931474747474747,51,0.255
2017-03-11,200,200,199,0.995,0.47956733668341706,63,0.315
2017-03-12,200,200,195,0.975,0.48721487179487183,63,0.315
2017-04-01,200,200,199,0.995,0.4657582914572865,68,0.34
2017-04-02,200,200,200,1.0,0.470382,65,0.325
2017-04-03,200,200,200,1.0,0.4693085,67,0.335
2017-04-04,200,200,200,1.0,0.4910675,55,0.275
2017-04-05,200,200,198,0.99,0.5016353535353536,50,0.25
2017-04-06,200,200,190,0.95,0.5181126315789474,42,0.21
2017-04-07,200,200,199,0.995,0.5221532663316583,40,0.2
2017-04-08,200,200,200,1.0,0.524197,42,0.21
2017-04-09,200,200,199,0.995,0.5134592964824121,43,0.215
2017-04-10,200,200,197,0.985,0.4966807106598985,50,0.25
2017-04-11,200,200,199,0.995,0.4875472361809045,61,0.305
2017-04-12,200,200,197,0.985,0.4877766497461929,61,0.305
2017-05-01,200,200,200,1.0,0.4753145,63,0.315
2017-05-02,200,200,200,1.0,0.46912950000000003,66,0.33
2017-05-03,200,200,200,1.0,0.462902,70,0.35
2017-05-04,200,200,200,1.0,0.4892425,57,0.285
2017-05-05,200,200,197,0.985,0.4993192893401015,50,0.25
2017-05-06,200,200,199,0.995,0.5095346733668342,45,0.225
2017-05-07,200,200,199,0.995,0.5216959798994975,38,0.19
2017-05-08,200,200,200,1.0,0.5289470000000001,43,0.215
2017-05-09,200,200,199,0.995,0.5166854271356784,42,0.21
2017-05-10,200,200,197,0.985,0.5011324873096447,50,0.25
2017-05-11,200,200,199,0.995,0.4800778894472362,64,0.32
2017-05-12,200,200,197,0.985,0.48929898477157363,60,0.3
2017-06-01,200,200,199,0.995,0.4750603015075377,64,0.32
2017-06-02,200,200,200,1.0,0.458581,69,0.345
