date,song_rows,total_streams,tracks_with_valence,streams_with_valence,sad_streams,sad_songs_count,avg_valence,median_valence,std_valence,min_valence,max_valence,valence_coverage,stream_coverage,share_sad_streams,share_sad_songs,weighted_avg_valence
2017-01-01,63,247835.0,63,247835.0,73772.0,21,0.5428619047619048,0.536,0.25998466730756076,0.0963,0.979,1.0,1.0,0.2976657857041984,0.3333333333333333,0.538556470232211
2017-01-02,55,256718.0,55,256718.0,93723.0,25,0.437910909090909,0.409,0.2222400459569248,0.0542,0.914,1.0,1.0,0.3650815291487157,0.45454545454545453,0.46712888578128525
2017-01-03,56,267560.0,56,267560.0,103447.0,27,0.4250375,0.403,0.22097636283507383,0.0542,0.914,1.0,1.0,0.3866310360293018,0.48214285714285715,0.4565486253550607
2017-01-04,58,273627.0,58,273627.0,104957.0,27,0.42613965517241387,0.403,0.21734026838008674,0.0542,0.914,1.0,1.0,0.38357691309702624,0.46551724137931033,0.4561017352088792
2017-01-05,56,271916.0,56,271916.0,104123.0,26,0.4314125000000001,0.409,0.2194413055196807,0.0542,0.914,1.0,1.0,0.3829234028155754,0.4642857142857143,0.458090314288236
2017-01-06,52,307638.0,52,307638.0,101877.0,23,0.4545557692307692,0.43,0.22634952965249672,0.0596,0.931,1.0,1.0,0.3311586995104636,0.4423076923076923,0.5207562560541935
2017-01-07,58,351211.0,58,351211.0,104557.0,21,0.5143844827586207,0.494,0.24977508184239858,0.0963,0.965,1.0,1.0,0.29770422908166316,0.3620689655172414,0.5506553986065353
2017-01-08,54,312749.0,54,312749.0,104778.0,24,0.44678703703703726,0.409,0.2265593295999771,0.0542,0.931,1.0,1.0,0.33502265394933317,0.4444444444444444,0.5216863366469594
2017-01-09,53,272952.0,53,272952.0,91058.0,24,0.43600188679245283,0.409,0.2229149669635746,0.0542,0.931,1.0,1.0,0.33360444327207717,0.4528301886792453,0.5246659819308891
2017-01-10,51,276739.0,51,276739.0,95279.0,24,0.42864901960784324,0.409,0.22390423879198806,0.0542,0.931,1.0,1.0,0.3442919140417505,0.47058823529411764,0.518594387130112
2017-01-11,52,305745.0,52,305745.0,102001.0,23,0.44709807692307696,0.43,0.23434073523889884,0.0542,0.931,1.0,1.0,0.3336146134850938,0.4423076923076923,0.5240593291795449
2017-01-12,54,284517.0,54,284517.0,97431.0,25,0.4278907407407408,0.409,0.2211918507050133,0.0542,0.931,1.0,1.0,0.3424435095266715,0.46296296296296297,0.5163311900519125
2017-01-13,48,289840.0,48,289840.0,103233.0,22,0.4346999999999999,0.409,0.21358997506158506,0.0596,0.931,1.0,1.0,0.3561723709632901,0.4583333333333333,0.5133062779464533
2017-01-14,51,361278.0,51,361278.0,127988.0,22,0.45036470588235306,0.43,0.2231146062664024,0.0596,0.931,1.0,1.0,0.35426458295274,0.43137254901960786,0.5131730434734468
2017-01-15,54,344295.0,54,344295.0,130873.0,25,0.4391129629629631,0.403,0.2326604539020826,0.0542,0.931,1.0,1.0,0.3801187934765245,0.46296296296296297,0.5008883503971885
2017-01-16,51,286609.0,51,286609.0,115723.0,26,0.39974509803921576,0.374,0.22127860837751626,0.0392,0.931,1.0,1.0,0.4037661064376904,0.5098039215686274,0.48490875024859653
2017-01-17,53,303212.0,53,303212.0,118023.0,25,0.43139245283018884,0.409,0.21709104067635965,0.0542,0.931,1.0,1.0,0.38924251019088957,0.4716981132075472,0.49573772739865213
2017-01-18,51,328146.0,51,328146.0,119746.0,21,0.4741882352941177,0.438,0.225624978800716,0.0596,0.931,1.0,1.0,0.3649168357986994,0.4117647058823529,0.5105573775087919
2017-01-19,53,306876.0,53,306876.0,121572.0,26,0.4144169811320756,0.403,0.21846375666303683,0.0542,0.931,1.0,1.0,0.3961600125131975,0.49056603773584906,0.48707994792685005
2017-01-20,49,307932.0,49,307932.0,111219.0,20,0.44944081632653077,0.437,0.21265464169082474,0.0596,0.931,1.0,1.0,0.36118039047581935,0.40816326530612246,0.5030125800501408
