date,prcp,tsun
2020-01-01 00:00:00,0.1,438
2020-01-02 00:00:00,0.0,0
2020-01-03 00:00:00,0.5,0
2020-01-04 00:00:00,0.2,0
2020-01-05 00:00:00,1.1,0
2020-01-06 00:00:00,0.0,0
2020-01-07 00:00:00,0.0,168
2020-01-08 00:00:00,10.6,0
2020-01-09 00:00:00,8.6,0
2020-01-10 00:00:00,2.1,168
2020-01-11 00:00:00,0.0,210
2020-01-12 00:00:00,0.1,0
2020-01-13 00:00:00,0.0,0
2020-01-14 00:00:00,0.0,6
2020-01-15 00:00:00,0.1,414
2020-01-16 00:00:00,0.0,444
2020-01-17 00:00:00,0.0,144
2020-01-18 00:00:00,0.3,150
2020-01-19 00:00:00,0.0,36
2020-01-20 00:00:00,0.0,366
2020-01-21 00:00:00,0.0,498
2020-01-22 00:00:00,0.0,0
2020-01-23 00:00:00,0.0,114
2020-01-24 00:00:00,0.0,0
2020-01-25 00:00:00,0.0,0
2020-01-26 00:00:00,0.0,0
2020-01-27 00:00:00,9.9,0
2020-01-28 00:00:00,2.9,18
2020-01-29 00:00:00,0.1,24
2020-01-30 00:00:00,0.3,84
